nct_id,org_name,org_class,brief_title,overall_status,why_stopped,collaborators,has_dmc,fda_regulated_drug,fda_regulated_device,phase,conditions,keywords
NCT06459128,Limbic Limited,INDUSTRY,Delivery Format of Cognitive Behavioral Therapy Materials on Engagement and Outcomes: AI-Enabled App vs PDF Workbook,COMPLETED,,,,False,False,NA,['Mental Health Issue'],"['ai', 'llm', 'cbt', 'cognitive behavioural therapy', 'cognitive behavioral therapy', 'artificial intelligence', 'large language model', 'app', 'cbt-i', 'homework', 'limbic', 'worksheets', 'workbook', 'cbt intervention']"
NCT04640090,Washington University School of Medicine,OTHER,Wellness Through Mobile Health,COMPLETED,,,False,False,False,NA,"['Musculoskeletal Diseases', 'Chronic Pain', 'Anxiety Disorders', 'Depression']","['Musculoskeletal disease', 'Chronic pain', 'Behavioral health', 'Anxiety', 'Depression', 'Mobile health', 'Smartphone application']"
NCT04440553,"University of California, Berkeley",OTHER,A Mobile App to Increase Physical Activity in Students,COMPLETED,,,False,False,False,NA,"['Mobile Health', 'Physical Activity', 'Exercise', 'Mood', 'Machine Learning']",
NCT04046497,Northwell Health,OTHER,Artificial Intelligence to Measure Adherence to Oral Medication,RECRUITING,,"[{'name': 'National Institute of Mental Health (NIMH)', 'class': 'NIH'}]",False,False,False,PHASE4,['First Episode Psychosis'],
NCT06965296,State University of New York at Buffalo,OTHER,AI-Enhanced App-based Intervention for Adolescent E-cigarette Cessation,RECRUITING,,"[{'name': 'National Cancer Institute (NCI)', 'class': 'NIH'}, {'name': 'Advanced Bionics', 'class': 'INDUSTRY'}]",False,False,False,NA,"['Nicotine Dependence, Cigarettes']","['Adolescent e-cigarette use', 'E-cigarette cessation', 'Smartphone app', 'Digital health intervention', 'Personalized health support']"
NCT04226027,Columbia University,OTHER,Dynamically Tailored Behavioral Interventions in Diabetes,ACTIVE_NOT_RECRUITING,,"[{'name': 'Clinical Directors Network', 'class': 'NETWORK'}, {'name': 'University of Colorado, Denver', 'class': 'OTHER'}, {'name': 'National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)', 'class': 'NIH'}]",True,False,False,NA,['Type 2 Diabetes'],"['Mobile health', 'Mhealth', 'T2.coach', 'Smartphone app']"
NCT05685355,The University of Hong Kong,OTHER,AI Gum Health Evaluation with Smartphone,RECRUITING,,"[{'name': 'Hong Kong Chu Hai College', 'class': 'UNKNOWN'}]",False,False,False,,['Gingivitis'],"['Gingivitis detection', 'Semantic segmentation', 'inflammation', 'photography', 'mobile device', 'deep neural network', 'machine learning', 'artificial intelligence']"
NCT06276582,Norwegian University of Science and Technology,OTHER,"Screening for Neonatal Jaundice With a Mobile Health Device: a Validation Study in Oaxaca, Mexico.",COMPLETED,,"[{'name': 'Picterus AS', 'class': 'INDUSTRY'}, {'name': 'Instituto Mexicano del Seguro Social', 'class': 'OTHER_GOV'}]",False,False,False,NA,"['Jaundice, Neonatal']","['Neonatal jaundice', 'Screening', 'mobile health', 'low resource settings']"
NCT06959901,Baylor College of Medicine,OTHER,PATHS-UP Health Behavior Self-monitoring Mobile App for Adolescents,RECRUITING,,"[{'name': 'U.S. National Science Foundation', 'class': 'FED'}]",False,False,False,NA,"['Obesity and Diabetes Mellitus, Type 2', 'Diabetes Prevention']","['mHealth', 'Digital health', 'teen health', 'lifestyle intervention', 'mobile phone app']"
NCT06808555,Chinese University of Hong Kong,OTHER,Pai.ACT: AI-Driven ACT Chatbot for Mental Health Triage and Service Evaluation,NOT_YET_RECRUITING,,"[{'name': 'Social Welfare Department, Hong Kong', 'class': 'OTHER_GOV'}]",True,False,False,NA,"['Autism Spectrum Disorder', 'Attention Deficit Disorder With Hyperactivity (ADHD)', 'Neurodevelopmental Disorder (Diagnosis)', 'Dyslexia']","['Smartphone-delivered Therapy', 'Deep learning', 'Acceptance and Commitment Therapy', 'Parents', 'Children with Special Needs', 'Parental Support', 'Artificial Intelligence in Healthcare', 'Psychological Interventions', 'Parenting Stress', 'Regional Randomized Controlled Trial']"
NCT05363124,Fondation Lenval,OTHER,Evaluation of Mobile App to Assist in Pediatric Triage,NOT_YET_RECRUITING,,,False,False,False,NA,['Pediatric Triage in a Pediatric Emergency Department'],
NCT05490823,Sun Yat-sen University,OTHER,Validation of a Smartphone App for Anemia Screening Among General Population,UNKNOWN,,,True,False,False,NA,['Anemia'],"['Smartphone app', 'Artificial intelligence', 'Public health']"
