nct_id,org_name,org_class,brief_title,overall_status,why_stopped,collaborators,has_dmc,fda_regulated_drug,fda_regulated_device,phase,conditions,keywords
NCT05175690,"AudibleHealth AI, Inc.",INDUSTRY,Evaluation of the AudibleHealth Dx AI/ML-Based Dx SaMD Using FCV-SDS in the Diagnosis of COVID-19 Illness,COMPLETED,,"[{'name': 'University of South Florida', 'class': 'OTHER'}, {'name': 'R. P. Chiacchierini Consulting, LLC', 'class': 'INDUSTRY'}, {'name': 'Analytical Solutions Group, Inc.', 'class': 'UNKNOWN'}, {'name': 'Renaissance Worldwide Solutions, LLC', 'class': 'UNKNOWN'}, {'name': 'Medical & Regulatory Affairs Specialists, LLC', 'class': 'UNKNOWN'}]",True,False,True,,['COVID19'],"['2019 Novel Coronavirus Disease', '2019 Novel Coronavirus Infection', '2019-nCoV Disease', '2019-nCoV Infection', 'COVID-19 Pandemic', 'COVID-19 Pandemics', 'COVID-19 Virus Disease', 'COVID-19 Virus Infection', 'Coronavirus Disease 2019', 'Coronavirus Disease-19', 'SARS Coronavirus 2 Infection', 'SARS-CoV-2 Infection', 'Severe Acute Respiratory Syndrome Coronavirus 2 Infection', 'SARS-CoV-2', 'Software as Medical Device', 'Diagnostic Software as Medical Device', 'SaMD', 'Dx SaMD', 'Forced Cough Vocalization', 'Signal Data Signature', 'FCV', 'SDS', 'FCV-SDS', 'Delta', 'Omicron', 'Artificial Intelligence', 'Machine Learning', 'AI', 'ML', 'AI/ML', 'Classifier', 'Convolutional Neural Network', 'CNN', 'Recurrent Neural Network', 'RNN', 'Oracle', 'Ensemble']"
NCT05940090,Halcyon Dermatology,OTHER,Correlation of Dermatologist Made Biopsy Decision With AI Assisted Total Body Photography Detection of Outlier Lesions,COMPLETED,,,,False,True,,['Skin Lesion'],
NCT06017687,Biospectal,INDUSTRY,Data Collection and Evaluation of OptiBP Under Investigational Use,RECRUITING,,,False,False,True,NA,['General Population'],
NCT06609174,Mayo Clinic,OTHER,AI-SCREENDCM Decentralized Clinical Trial - Pilot Study,RECRUITING,,,False,False,True,NA,['Cardiomyopathy'],['Artificial Intelligence']
NCT06652568,"ThinkSono, Ltd.",INDUSTRY,Determining the Validity of ThinkSono Guidance for Ultrasound Image Acquisition and Remote Diagnosis,RECRUITING,,"[{'name': 'NYU Langone Health', 'class': 'OTHER'}, {'name': 'Temple Health', 'class': 'UNKNOWN'}, {'name': 'Allegheny Health Network', 'class': 'OTHER'}]",False,False,True,NA,"['Deep Vein Thrombosis', 'Deep Vein Thrombosis, Pulmonary Embolus']","['Deep vein thrombosis', 'Artificial intelligence', 'Machine learning', 'Ultrasound']"
NCT05987670,Imperial College London,OTHER,Triple Cardiovascular Disease Detection With an Artificial Intelligence-enabled Stethoscope,ACTIVE_NOT_RECRUITING,,"[{'name': 'Imperial College Health Partners', 'class': 'UNKNOWN'}]",False,False,True,NA,"['Heart Failure', 'Heart Valve Diseases', 'Atrial Fibrillation', 'Heart Murmurs', 'Congestive Heart Failure', 'Heart Failure With Reduced Ejection Fraction']","['cluster randomized controlled trial', 'artificial intelligence', 'digital health', 'cardiology', 'primary care']"
NCT06636110,The University of Texas Health Science Center at San Antonio,OTHER,Piloting JUN_Pregnancy Mobile Medical App,RECRUITING,,"[{'name': 'The University of Texas at San Antonio', 'class': 'OTHER'}]",True,False,True,NA,"['Pregnancy Related', 'Pregnancy']","['Community Supervision', 'Criminal Justice Oversight', 'Jun App']"
NCT06697496,Fred Hutchinson Cancer Center,OTHER,"A Smartphone Application (QuitBot) for the Improvement of Smoking Cessation Among American Indians and Alaska Natives, NAITIVE Trial",NOT_YET_RECRUITING,,"[{'name': 'National Institute on Minority Health and Health Disparities (NIMHD)', 'class': 'NIH'}]",False,False,True,NA,['Cigarette Smoking-Related Carcinoma'],
NCT06089291,Zimmer Biomet,INDUSTRY,Persona IQ Cohort Study,ENROLLING_BY_INVITATION,,,False,False,True,,"['Osteo Arthritis Knee', 'Knee Arthritis', 'Monitoring Orthopedic Devices', 'Total Knee Arthroplasty', 'Total Knee Replacement']","['Cemented Primary Total Knee Arthroplasty', 'Medical Device', 'Performance', 'Safety', 'Persona IQ']"
NCT04607369,"Neuro-Eye Diagnostic Systems, LLC",INDUSTRY,Implementation of the NEDS EyeCTester App,UNKNOWN,,"[{'name': 'Neuro-ophthalmology of Texas PLLC', 'class': 'UNKNOWN'}]",False,False,True,,"['Optic Nerve Disease', 'Macular Disease', 'Visual Pathway Disorder']","['Amsler Grid', 'Visual Field Defects', '10-2 Visual Field', 'Optic Nerve Diseases', 'Macula Diseases', 'Visual Pathway Disorders', 'Vision Monitoring']"
